;1;2;3;4;5;6;7;8;9;10;Rm-Rf
28.02.1936;0.0127;0.0084;0.046;0.0307;0.0374;0.0651;0.0523;0.0484;0.0825;0.0832;0.0249
31.03.1936;-0.0142;0.0077;-0.0109;0.0085;0.0098;0.0248;-0.0004;-0.02;0.0178;-0.0392;0.0099
30.04.1936;-0.047;-0.0637;-0.0838;-0.098;-0.1288;-0.1373;-0.1482;-0.1488;-0.1943;-0.212;-0.0814
29.05.1936;0.0382;0.0381;0.0423;0.0437;0.0359;0.0556;0.0623;0.0578;0.0621;0.089;0.0519
30.06.1936;0.0263;0.0201;0.0186;0.0023;-0.0031;-0.0013;-0.0119;-0.0136;-0.0304;-0.0034;0.0240
31.07.1936;0.0234;0.054;0.0682;0.0948;0.084;0.1242;0.0985;0.1179;0.0848;0.0718;0.0667
31.08.1936;-0.0049;0.0235;0.0155;0.0135;0.0378;0.0606;0.0492;0.0344;0.0145;-0.0172;0.0099
30.09.1936;0.003;0.0069;0.0252;0.0427;0.0297;0.0229;0.0266;0.0647;0.054;0.0605;0.0098
30.10.1936;0.0456;0.0503;0.081;0.0727;0.066;0.0587;0.0801;0.0641;0.0645;0.0613;0.0712
30.11.1936;0.0307;0.0483;0.0594;0.0542;0.0776;0.0986;0.0878;0.1121;0.1693;0.1589;0.0327
31.12.1936;-0.0172;-0.0092;0.0085;0.0188;0.0294;0.0407;0.048;0.0408;0.0601;0.031;0.0021
29.01.1937;0.015;0.0301;0.0394;0.0511;0.0737;0.071;0.1131;0.1491;0.1198;0.1356;0.0335
26.02.1937;-0.006;0.0056;0.0016;0.0157;0.0332;0.046;0.0213;0.033;0.0416;0.0466;0.0109
31.03.1937;-0.0262;-0.0178;0.0124;0.0098;0.0157;0.0193;0.0025;0.039;-0.0112;-0.004;-0.0027
30.04.1937;-0.0414;-0.0741;-0.0668;-0.0854;-0.1033;-0.1152;-0.1073;-0.1599;-0.1475;-0.1588;-0.0736
31.05.1937;-0.0016;-0.0159;-0.0163;-0.0175;-0.0154;-0.0135;-0.0205;-0.0483;-0.0367;-0.0503;-0.0083
30.06.1937;-0.0291;-0.0417;-0.0582;-0.0582;-0.0635;-0.0729;-0.086;-0.1109;-0.1182;-0.1335;-0.0421
30.07.1937;0.0486;0.0686;0.078;0.0903;0.0988;0.0908;0.1185;0.1377;0.1659;0.1523;0.0891
31.08.1937;-0.0209;-0.0234;-0.0395;-0.056;-0.053;-0.0488;-0.0582;-0.0841;-0.0884;-0.1017;-0.0486
30.09.1937;-0.0883;-0.1192;-0.1495;-0.1805;-0.2001;-0.2455;-0.2298;-0.2533;-0.275;-0.2452;-0.1361
29.10.1937;-0.0539;-0.0719;-0.1029;-0.1163;-0.1301;-0.137;-0.1235;-0.1112;-0.091;-0.0849;-0.0961
30.11.1937;-0.0628;-0.085;-0.1043;-0.1126;-0.1026;-0.1159;-0.1497;-0.1409;-0.1129;-0.1432;-0.0831
31.12.1937;-0.0125;-0.062;-0.0809;-0.0924;-0.1005;-0.1022;-0.1215;-0.1379;-0.1452;-0.1845;-0.0424
31.01.1938;0.0462;0.0425;0.035;0.0337;0.0171;0.0212;0.0519;0.0616;0.0434;0.0379;0.0049
28.02.1938;0.0405;0.0444;0.0698;0.0815;0.0748;0.0926;0.0755;0.0767;0.048;0.0194;0.0584
31.03.1938;-0.1666;-0.2232;-0.2469;-0.2843;-0.3076;-0.3207;-0.342;-0.347;-0.3728;-0.3751;-0.2382
29.04.1938;0.1165;0.126;0.1691;0.1703;0.2079;0.2203;0.2404;0.2791;0.262;0.3116;0.1451
31.05.1938;-0.0131;-0.0205;-0.0598;-0.0812;-0.0568;-0.091;-0.1037;-0.1002;-0.0906;-0.1052;-0.0383
30.06.1938;0.1211;0.1898;0.2628;0.3367;0.3452;0.3662;0.3728;0.3919;0.3977;0.3862;0.2387
29.07.1938;0.0551;0.0809;0.1004;0.1082;0.1258;0.1383;0.1526;0.1952;0.1692;0.144;0.0734
31.08.1938;-0.0169;-0.0386;-0.0494;-0.0538;-0.0558;-0.0763;-0.0512;-0.071;-0.104;-0.1275;-0.0267
30.09.1938;-0.0053;-0.0078;-0.0085;-0.0117;-0.0155;-0.0225;-0.0227;-0.0207;-0.0065;-0.0208;0.0081
31.10.1938;0.0592;0.0709;0.0993;0.1152;0.1595;0.1317;0.1732;0.2026;0.1961;0.2192;0.0780
30.11.1938;-0.0031;-0.0106;-0.0137;-0.0294;-0.0367;-0.0412;-0.0306;-0.0229;-0.067;-0.0915;-0.0172
30.12.1938;0.0298;0.0291;0.0057;0.0197;0.043;0.0526;0.0393;0.0627;0.022;0.0295;0.0419
31.01.1939;-0.0099;-0.038;-0.0582;-0.0912;-0.0814;-0.108;-0.0966;-0.1099;-0.1037;-0.0957;-0.0596
28.02.1939;0.0378;0.0395;0.0378;0.0402;0.0693;0.0365;0.0494;0.0478;0.0251;0.0398;0.0351
31.03.1939;-0.0454;-0.0696;-0.1185;-0.1656;-0.1892;-0.2046;-0.2487;-0.2445;-0.2494;-0.2497;-0.1199
28.04.1939;0.001;0.0017;-0.0105;-0.011;-0.0098;-0.0057;0.0117;0.0255;0.0034;0.0328;-0.0018
31.05.1939;0.0537;0.0636;0.0758;0.0848;0.1019;0.1007;0.0988;0.0919;0.0801;0.0956;0.0680
30.06.1939;-0.0138;-0.021;-0.0594;-0.0761;-0.076;-0.1032;-0.1239;-0.1259;-0.1428;-0.1563;-0.0531
31.07.1939;0.056;0.0672;0.0916;0.1188;0.1316;0.1899;0.1716;0.2114;0.1736;0.2011;0.1024
31.08.1939;-0.0516;-0.0483;-0.082;-0.0979;-0.1225;-0.1311;-0.1143;-0.1514;-0.1471;-0.1657;-0.0668
29.09.1939;0.0356;0.1394;0.204;0.2925;0.2175;0.3634;0.4051;0.5226;0.6404;0.6847;0.1688
31.10.1939;0.0308;0.0184;0.0228;0.0396;0.014;0.0059;-0.0221;-0.018;-0.0543;-0.12;-0.0053
30.11.1939;0.009;-0.0244;-0.0444;-0.0501;-0.0692;-0.0884;-0.1077;-0.1268;-0.1441;-0.1819;-0.0362
29.12.1939;0.0333;0.0174;0.0248;0.0128;0.019;0.0506;0.022;-0.0037;0.0033;0.0165;0.0303
31.01.1940;0.0105;0.0035;-0.0115;0.0067;-0.0062;-0.0242;-0.0397;-0.0465;-0.0699;-0.056;-0.0241
29.02.1940;0.0084;0.0182;0.0261;0.0258;0.0118;0.0689;0.0367;0.0533;0.0471;0.0385;0.0144
29.03.1940;0.0163;0.0326;0.0206;0.0216;0.0204;0.0432;0.0624;0.016;0.0136;0.0069;0.0205
30.04.1940;0.0008;0.004;0.0014;-0.0021;-0.0054;0.0267;0.0095;0.0089;0.0247;0.0926;0.0022
31.05.1940;-0.1923;-0.2221;-0.236;-0.2578;-0.2777;-0.2843;-0.3028;-0.3231;-0.3115;-0.3531;-0.2195
28.06.1940;0.0636;0.0577;0.0687;0.0487;0.0636;0.0538;0.0945;0.0765;0.0797;0.0615;0.0667
31.07.1940;0.0141;0.0244;0.0445;0.0465;0.0559;0.0474;0.0368;0.0264;0.0283;0.0148;0.0316
30.08.1940;0.0047;0.0208;0.0171;0.032;0.008;0.0245;0.0258;0.0655;0.0411;0.0061;0.0219
30.09.1940;0.0295;0.0166;0.0322;0.045;0.0379;0.0328;0.0594;0.0475;0.0536;0.033;0.0239
31.10.1940;0.003;0.0222;0.0338;0.0465;0.0332;0.0605;0.0799;0.1012;0.0901;0.068;0.0302
29.11.1940;-0.0095;0.0008;0.0178;0.011;0.0153;0.0041;0.0015;-0.0178;-0.0214;-0.0208;-0.0161
31.12.1940;0.0045;-0.0148;-0.0101;-0.0124;-0.0135;-0.005;-0.0004;-0.0197;-0.0037;-0.0534;0.0069
31.01.1941;-0.004;-0.0034;-0.0065;-0.0126;-0.0116;-0.0301;-0.0225;-0.0322;-0.0727;-0.0444;-0.0417
28.02.1941;-0.0235;-0.0209;-0.0154;-0.0135;-0.0277;-0.0057;-0.0143;-0.0347;-0.0395;-0.0191;-0.0143
31.03.1941;0.0046;0.0141;0.0152;0.0139;0.0121;0.0152;0.0011;0.0433;-0.0071;-0.0109;0.0084
30.04.1941;-0.0479;-0.0378;-0.0383;-0.0509;-0.0566;-0.0543;-0.0696;-0.0778;-0.0832;-0.0494;-0.0546
30.05.1941;-0.009;0.0062;0.0087;0.0162;0.0049;0.0243;0.0329;0.0042;0.0168;-0.0091;0.0139
30.06.1941;0.0501;0.0402;0.0496;0.0542;0.0635;0.0716;0.0684;0.0875;0.0736;0.1017;0.0583
31.07.1941;0.0451;0.0578;0.1036;0.0899;0.1059;0.1171;0.1537;0.1783;0.1533;0.2538;0.0587
29.08.1941;0.0013;-0.0026;-0.0067;0.0038;0.001;0.0086;-0.0101;-0.0111;-0.0254;-0.0125;-0.0017
30.09.1941;0.0091;0.0016;0.0016;-0.0088;-0.0077;-0.0159;-0.0171;-0.0263;-0.0554;-0.047;-0.0087
31.10.1941;-0.0471;-0.0476;-0.045;-0.0494;-0.0541;-0.0587;-0.0699;-0.0736;-0.0659;-0.0764;-0.0525
28.11.1941;-0.0299;-0.0168;-0.0277;-0.0221;-0.0124;-0.0164;-0.0311;-0.048;-0.0421;-0.0654;-0.0192
31.12.1941;-0.0542;-0.0699;-0.074;-0.0608;-0.0544;-0.0948;-0.0841;-0.0645;-0.1123;-0.1076;-0.0487
30.01.1942;0.0118;0.0535;0.0492;0.0782;0.0918;0.0959;0.0883;0.1085;0.1492;0.2171;0.0079
27.02.1942;-0.0343;-0.0215;-0.0127;-0.0211;-0.0213;-0.0233;-0.0018;-0.0111;-0.0021;-0.0147;-0.0246
31.03.1942;-0.0715;-0.0668;-0.0454;-0.0469;-0.0405;-0.0306;-0.0438;-0.0501;-0.0413;-0.1;-0.0658
30.04.1942;-0.0442;-0.0439;-0.0384;-0.0356;-0.0403;-0.0459;-0.0478;-0.0515;-0.0665;-0.0692;-0.0437
29.05.1942;0.0732;0.059;0.0386;0.046;0.0424;0.0451;0.036;0.0065;0.0064;-0.0185;0.0594
30.06.1942;0.0349;0.0304;0.0348;0.0281;0.0356;0.0258;0.0003;0.0163;0.0032;0.0227;0.0269
31.07.1942;0.0209;0.0366;0.0345;0.0504;0.0421;0.0381;0.0418;0.0738;0.0445;0.0759;0.0351
31.08.1942;0.0225;0.027;0.0239;0.0248;0.022;0.0335;0.0326;0.0104;0.0377;0.0078;0.0180
30.09.1942;0.0119;0.0205;0.0291;0.0183;0.0227;0.0249;0.043;0.047;0.0411;0.1059;0.0261
30.10.1942;0.0441;0.0515;0.0551;0.0703;0.0751;0.101;0.1244;0.1275;0.1567;0.126;0.0682
30.11.1942;0.0075;0.0066;-0.015;0;-0.0135;-0.0037;-0.0243;-0.0157;-0.0186;-0.0428;0.0015
31.12.1942;0.0465;0.037;0.0384;0.043;0.0494;0.0379;0.0408;0.0417;0.0286;0.0041;0.0512
29.01.1943;0.0798;0.0843;0.0847;0.0872;0.1067;0.1259;0.1627;0.1665;0.231;0.2845;0.0713
26.02.1943;0.0446;0.0458;0.0723;0.0695;0.084;0.0916;0.1248;0.1066;0.1606;0.2178;0.0615
31.03.1943;0.0698;0.0557;0.0657;0.0919;0.107;0.105;0.1423;0.1782;0.1826;0.1677;0.0601
